Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
50mA1,Fuse,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,66.9,-109.51,180.0,top
BZ1,Buzzer,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,109.15,-28.01,90.0,top
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,99.65,-50.235,180.0,top
C10,10uF/25v,CP_Elec_8x10,90.4,-87.01,0.0,top
C11,1uF,C_Elec_5x5.8,32.15,-44.51,90.0,top
C12,.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,80.65,-22.01,90.0,top
C2,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,95.65,-46.485,-90.0,top
C3,22uF,CP_Elec_5x3,81.85,-51.76,180.0,top
C4,22uF,CP_Elec_5x3,81.85,-45.76,180.0,top
C5,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,59.249,-23.201,0.0,top
C6,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,92.65,-63.76,-90.0,top
C7,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,64.4,-55.26,180.0,top
C8,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,43.15,-64.76,-90.0,top
C9,47uF/63v,CP_Elec_8x10,90.4,-105.76,90.0,top
D1,SMAJ58A,D_SMA,83.15,-105.76,90.0,top
D2,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,36.15,-83.15,-90.0,top
D3,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,62.4,-83.26,-90.0,top
D4,1N4742A/12v/1w,D_DO-41_SOD81_P10.16mm_Horizontal,89.15,-93.26,0.0,top
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,68.687,-28.86,-90.0,top
J3,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_XKB_U262-16XN-4BVC11,42.25,-19.25,180.0,top
J4,Conn_01x01,Banana_Cliff_FCR7350B_S16N-PC_Horizontal,25.82,-99.04,90.0,top
J5,Conn_01x01,Banana_Cliff_FCR7350R_S16N-PC_Horizontal,52.07,-99.09,90.0,top
K1,SANYOU_SRD_Form_C,Relay_SPDT_SANYOU_SRD_Series_Form_C,25.875,-82.31,90.0,top
K2,SANYOU_SRD_Form_C,Relay_SPDT_SANYOU_SRD_Series_Form_C,52.125,-82.36,90.0,top
L1,4.7uH,L_7.3x7.3_H4.5,90.15,-47.76,90.0,top
Q1,2N3904,TO-92_Inline,43.84,-51.51,180.0,top
Q2,2N3904,TO-92_Inline,43.88,-46.01,180.0,top
Q3,IRF540N,TO-220-3_Vertical,32.3,-58.11,90.0,top
R1,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,79.0,-35.26,180.0,top
R10,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,27.9,-53.66,90.0,top
R11,100Î©/1w,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,26.53,-66.0,180.0,top
R12,5.6k/0.5w,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,86.53,-97.76,180.0,top
R13,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,25.9,-35.76,90.0,top
R14,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,29.65,-39.76,180.0,top
R2,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,43.2,-25.3,90.0,bottom
R3,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,38.7,-25.3,90.0,bottom
R4,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,52.999,-19.701,-90.0,top
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,92.65,-59.51,-90.0,top
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,71.65,-55.26,180.0,top
R7,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,43.15,-60.76,-90.0,top
R8,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,48.55,-50.25,180.0,top
R9,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,48.55,-47.2,180.0,top
REF**,Fiducial_0.5mm_Mask2mm,Fiducial_0.5mm_Mask2mm,38.3,-108.26,0.0,top
REF**,Fiducial_0.5mm_Mask2mm,Fiducial_0.5mm_Mask2mm,94.8,-74.76,0.0,top
REF**,Fiducial_0.5mm_Mask2mm,Fiducial_0.5mm_Mask2mm,112.9,-108.26,0.0,top
REF**,Fiducial_0.5mm_Mask2mm,Fiducial_0.5mm_Mask2mm,112.9,-22.76,0.0,top
REF**,Fiducial_0.5mm_Mask2mm,Fiducial_0.5mm_Mask2mm,23.2,-25.46,0.0,top
REF**,Fiducial_0.5mm_Mask2mm,Fiducial_0.5mm_Mask2mm,29.9,-21.06,0.0,top
RV1,250k,Potentiometer_Bourns_3314G_Vertical,76.65,-106.01,0.0,top
SW1,SW_Wuerth_450301014042,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,110.86,-38.26,180.0,top
SW2,Reset,SW_Tactile_SKHH_Angled,59.249,-21.576,0.0,top
SW3,Enter,SW_PUSH-12mm,83.9,-63.51,0.0,top
SW4,Inc+,SW_PUSH-12mm,67.9,-63.51,0.0,top
SW5,Dec-,SW_PUSH-12mm,51.9,-63.51,0.0,top
U2,AP63203WU,TSOT-23-6,98.45,-46.3725,-90.0,top
U3,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,91.529216,-30.63,0.0,top
U4,Ag7200,Ag7200,106.8,-82.71,-90.0,top
U5,LM358DT,DIP-8_W10.16mm,22.9,-46.26,180.0,top
U6,PC817,DIP-4_W7.62mm,32.84,-35.53,180.0,top
